"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SI","2025-06-29","86.2","-2.16","3.66","Jacob, Alek",665846,689690,,"foul",,,,,5,"Jesús Bastidas strikes out swinging.","R","R","R","ELP","SUG","S",,,3,2,2025,"-1.16","0.27","-0.26","2.4",,,,0,7,"Top",,,,,,,6.883974494339621,-125.5663133771886,2.5381611180423276,-13.58015662685974,19.31339048469008,-29.86983044853179,"3.07","1.55",192,"65.8",32,"87.3",2277,"6.4",780139,669134,670148,687867,670712,669200,641796,657088,666632,"54.07",,,,,,,,57,8,"Sinker",7,3,3,7,3,7,3,7,"Standard","Strategic",244,"0","0",,,,"0","88.0",4,-4,"0.947","0.053",27,26,27,27,1,3,,,,,"2.73","1.16","1.16",,,,,,
"CH","2025-06-29","75.4","-2.18","3.56","Jacob, Alek",665846,689690,,"ball",,,,,14,"Jesús Bastidas strikes out swinging.","R","R","R","ELP","SUG","B",,,2,2,2025,"-1.44","0.11","0.88","1.52",,,,0,7,"Top",,,,,,,9.024733160521125,-109.53576436719729,2.647734536970545,-13.090372658487487,15.685926986894646,-31.92292369477124,"3.07","1.55",,,,"76.9",2227,"7",780139,669134,670148,687867,670712,669200,641796,657088,666632,"53.5",,,,,,,,57,7,"Changeup",7,3,3,7,3,7,3,7,"Standard","Strategic",269,"0","0.136",,,,"-0.136",,4,-4,"0.947","0.053",27,26,27,27,1,3,,,,,"3.86","1.44","1.44",,,,,,
"CH","2025-06-29","75.3","-2.15","3.73","Jacob, Alek",665846,689690,,"foul",,,,,4,"Jesús Bastidas strikes out swinging.","R","R","R","ELP","SUG","S",,,2,2,2025,"-1.42","0.08","-0.49","2.48",,,,0,7,"Top",,,,,,,6.0666923375646755,-109.43404385739657,4.411641031504956,-12.489162237162887,16.69118003032352,-32.397805926589086,"3.07","1.55",,,,"76.7",2208,"7.1",780139,669134,670148,687867,670712,669200,641796,657088,666632,"53.4",,,,,,,,57,6,"Changeup",7,3,3,7,3,7,3,7,"Standard","Strategic",273,"0","0",,,,"0",,4,-4,"0.947","0.053",27,26,27,27,1,3,,,,,"3.9","1.42","1.42",,,,,,
"FF","2025-06-29","86","-2.06","3.83","Jacob, Alek",665846,689690,,"foul",,,,,3,"Jesús Bastidas strikes out swinging.","R","R","R","ELP","SUG","S",,,2,2,2025,"-0.7","0.63","0.72","2.78",,,,0,7,"Top",,,,,,,8.128329309043043,-125.09562378972743,2.4092062035251463,-8.743579843981987,19.52098842165791,-25.991567388753037,"3.07","1.55",233,"71",37,"88.1",2357,"7.1",780139,669134,670148,687867,670712,669200,641796,657088,666632,"53.39",,,,,,,,57,5,"4-Seam Fastball",7,3,3,7,3,7,3,7,"Standard","Strategic",238,"0","0",,,,"0","88.0",4,-4,"0.947","0.053",27,26,27,27,1,3,,,,,"2.4","0.7","0.7",,,,,,
"CH","2025-06-29","75.1","-2.16","3.64","Jacob, Alek",665846,689690,,"ball",,,,,14,"Jesús Bastidas strikes out swinging.","R","R","R","ELP","SUG","B",,,1,2,2025,"-1.4","-0.03","1.31","1.72",,,,0,7,"Top",,,,,,,9.785107015377141,-109.0098398931596,3.2351804551088805,-12.739332426046888,16.38293757361779,-33.130573142949515,"3.07","1.55",,,,"76.5",2168,"7.1",780139,669134,670148,687867,670712,669200,641796,657088,666632,"53.39",,,,,,,,57,4,"Changeup",7,3,3,7,3,7,3,7,"Standard","Strategic",277,"0","0.059",,,,"-0.059",,4,-4,"0.947","0.053",27,26,27,27,1,3,,,,,"4.04","1.4","1.4",,,,,,
"CH","2025-06-29","73.5","-2.24","3.69","Jacob, Alek",665846,689690,,"swinging_strike",,,,,7,"Jesús Bastidas strikes out swinging.","R","R","R","ELP","SUG","S",,,1,1,2025,"-1.24","0.1","-0.61","1.76",,,,0,7,"Top",,,,,,,5.501561444832157,-107.03279697554174,3.122182582219946,-10.471902994554432,15.213277570329101,-32.00293801702533,"3.07","1.55",,,,"74.8",2158,"6.8",780139,669134,670148,687867,670712,669200,641796,657088,666632,"53.65",,,,,,,,57,3,"Changeup",7,3,3,7,3,7,3,7,"Standard","Strategic",266,"0","-0.077",,,,"0.077",,4,-4,"0.947","0.053",27,26,27,27,1,3,,,,,"4.05","1.24","1.24",,,,,,
"FF","2025-06-29","84.6","-2.11","3.63","Jacob, Alek",665846,689690,,"ball",,,,,11,"Jesús Bastidas strikes out swinging.","R","R","R","ELP","SUG","B",,,0,1,2025,"-0.93","0.44","-0.94","3.59",,,,0,7,"Top",,,,,,,4.680925228385048,-123.08709345603455,5.4599702332984945,-10.330710270876509,21.199883057352395,-28.840625151237603,"3.07","1.55",,,,"86.9",2271,"7.5",780139,669134,670148,687867,670712,669200,641796,657088,666632,"53.04",,,,,,,,57,2,"4-Seam Fastball",7,3,3,7,3,7,3,7,"Standard","Strategic",241,"0","0.052",,,,"-0.052",,4,-4,"0.947","0.053",27,26,27,27,1,3,,,,,"2.72","0.93","0.93",,,,,,
"SI","2025-06-29","85.7","-2.1","3.65","Jacob, Alek",665846,689690,,"called_strike",,,,,6,"Jesús Bastidas strikes out swinging.","R","R","R","ELP","SUG","S",,,0,0,2025,"-1.18","0.19","0.79","2.36",,,,0,7,"Top",,,,,,,9.421875126842952,-124.59644883244829,2.809330996024287,-14.024555599080093,20.37726529562551,-30.82923122912999,"3.07","1.55",,,,"88",2270,"7.4",780139,669134,670148,687867,670712,669200,641796,657088,666632,"53.12",,,,,,,,57,1,"Sinker",7,3,3,7,3,7,3,7,"Standard","Strategic",249,"0","-0.07",,,,"0.07",,4,-4,"0.947","0.053",27,26,27,27,1,3,,,,,"2.87","1.18","1.18",,,,,,
"SI","2025-06-25","84.9","-2.24","3.64","Jacob, Alek",685744,689690,"grounded_into_double_play","hit_into_play",,,,,4,"Kenedy Corona grounds into a double play, shortstop Mason McCoy to second baseman Clay Dungan to first baseman Nate Mondou. Collin Price out at 2nd. Kenedy Corona out at 1st.","R","R","R","ELP","SUG","X",6,"ground_ball",0,0,2025,"-1.68","0.22","-0.3","2.08",665846,,805672,1,7,"Top",109.4,153.46,,,,,8.047530700015006,-123.31840588818875,2.2964767012511498,-18.7766780266615,23.80719190844936,-30.64799167803845,"3.13","1.58",9,"92.7",-12,"86.3",2356,"7.2",780145,660710,670148,687867,670712,669200,641796,657088,666632,"53.28",0.137,0.123,"0",1,0,0,2,66,1,"Sinker",12,8,8,12,8,12,8,12,"Standard","Standard",249,"0.064","-0.318",,,0.144,"0.318","92.7",4,-4,"0.91","0.09",27,25,27,25,1,3,,,,,"2.95","1.68","1.68",,,,,,
"FF","2025-06-25","85.5","-2.32","3.78","Jacob, Alek",641521,689690,"strikeout","swinging_strike",,,,,3,"Edwin Díaz strikes out swinging.","R","R","R","ELP","SUG","S",2,,0,2,2025,"-0.91","0.93","0.73","2.88",665846,,805672,0,7,"Top",,,,,,,9.194843458559186,-124.26103746924241,2.3008750989137736,-11.161805800246803,22.024707112874022,-23.090228610216645,"3.25","1.64",,,,"87.6",2307,"7.4",780145,660710,670148,687867,670712,669200,641796,657088,666632,"53.1",,0,"0",1,0,0,,65,3,"4-Seam Fastball",12,8,8,12,8,12,8,12,"Standard","Strategic",236,"0.054","-0.177",,,,"0.177",,4,-4,"0.856","0.144",27,29,27,30,1,3,,,,,"2.17","0.91","0.91",,,,,,
